STATE,facilities,total_beds,burn_beds,adult_trauma_centers,peds_trauma_centers,adult_burn_centers,peds_burn_centers,population,total_beds_per_100k,burn_beds_per_100k,largest_single_facility_beds,capacity_loss_pct,broadband_pct,digital_coverage_pct,rural_county_share,provider_density_score,svi_weighted,access_gap_component,fragility_component,rurality_component,digital_gap_component,provider_shortage_component,vulnerability_component,telemedicine_priority_score
IN,9,4659,41.0,8,5,3,3,6537782.0,71.26270040818125,0.6271240001578516,836,17.94376475638549,90.1,72.12595160000001,52.17391304347826,221.51995868962703,0.4566943890125631,0.31407753790808257,0.14576364436412576,0.5797101449275363,0.27698650085818177,0.24913480449105888,0.44392860043118476,33.28479387378338
WI,14,4839,28.0,12,3,2,3,5724554.0,84.53060273341819,0.48912107388628,702,14.507129572225667,90.6,44.0429633,62.5,282.29220337491995,0.28968548720803083,0.24962766722457813,0.10998697600186182,0.6944444444444444,0.5619588322890625,0.19117748430454568,0.18487903123266883,32.37739320470319
MO,20,9605,93.0,17,3,5,5,6024522.0,159.43173582900022,1.54369093514805,1405,14.627798021863613,89.5,49.959201300000004,69.56521739130434,343.04203541679715,0.4431213558803735,0.08699953540142459,0.11124318007158206,0.7729468599033816,0.5019237634370781,0.15376525207462285,0.42287530119012906,31.61630373518752
FL,36,19224,85.0,33,8,6,2,19320749.0,99.49924819167208,0.43994153642801326,1550,8.062838119017893,91.7,56.8350213,32.83582089552239,874.4222903767,0.7216995209139982,0.19755081054504844,0.042899471569077016,0.3648424543946932,0.4321513291445681,0.04811960283245394,0.8549813318287616,31.08368311016952
VA,14,7153,68.0,13,3,3,2,8186628.0,87.37419118103327,0.8306228156452204,923,12.903676778973857,90.9,42.9133601,39.849624060150376,291.5443721202823,0.38694054123184496,0.23836177395242544,0.09329442769672641,0.4427736006683375,0.5734214891137916,0.18447316387260718,0.3357325460754551,30.404472760214407
MI,36,16872,69.0,35,7,5,3,9882519.0,170.72570262703263,0.6982025534178078,1398,8.285917496443812,90.5,36.754763000000004,63.85542168674698,619.7006241045241,0.44699283852995064,0.07485813311603806,0.045221812020403845,0.7095046854082998,0.6359158987251241,0.07615311409635635,0.4288804057186667,30.306592067433712
NY,36,18413,143.0,33,13,10,7,19576125.0,94.05845130228786,0.7304816453715942,912,4.953022321186118,90.4,54.232044099999996,40.32258064516129,1042.9729961592575,0.6244892603566232,0.2145622442179157,0.010525116275395536,0.4480286738351254,0.45856505952900256,0.037097840158640205,0.7041972966847133,30.24026590269105
MN,11,5293,50.0,9,5,3,3,5379646.0,98.38937357588213,0.9294291854891567,1265,23.899489892310598,92.0,62.623538599999996,68.96551724137932,487.0593510011912,0.31894053951930823,0.20086824193342212,0.20776498917573216,0.7662835249042146,0.3734123070402508,0.10236085740265993,0.2302569040060996,30.22288478626991
IL,57,18258,77.0,56,5,5,4,12868192.0,141.8847340791931,0.5983746590041553,894,4.8964837331580675,90.7,74.5563702,63.725490196078425,2225.2989533844225,0.5486630799253215,0.10969758286829695,0.009936528251018208,0.7080610021786492,0.2523238101432134,0.0067176449197469765,0.5865823721959122,26.196759937035523
PA,36,15191,83.0,32,6,6,3,12764475.0,119.00998670137237,0.6502421760393593,926,6.095714567836219,89.9,64.31910429999999,50.74626865671642,527.5094237376427,0.4434256504784587,0.1493375471898149,0.022420973518830455,0.5638474295190713,0.356206541561823,0.09297180068349538,0.42334729629752565,25.615349303456558
OH,26,14406,94.0,21,8,6,4,11553031.0,124.69454985449273,0.8136392951771704,1059,7.351103706788837,90.4,79.107889,53.40909090909091,492.7425227612404,0.4565554527625075,0.13812866659257939,0.035490047913724725,0.5934343434343434,0.20613723946449816,0.10094863330675918,0.44371309469865156,24.149067047084138
MA,11,5719,52.0,9,5,2,1,6645303.0,86.06078609207135,0.7825075846804879,999,17.46808882671796,92.9,72.11472909999999,21.428571428571427,952.4116287330575,0.46985724771824433,0.24347277821427787,0.14081167853951135,0.23809523809523808,0.27710038125991554,0.04253484828290822,0.46434567305596336,23.530136743859998
